_id	infinitif	participePasse	participePresent	auxiliaire	formePronominale	present_1	present_2	present_3	present_4	present_5	present_6	imparfait_1	imparfait_2	imparfait_3	imparfait_4	imparfait_5	imparfait_6	passeSimple_1	passeSimple_2	passeSimple_3	passeSimple_4	passeSimple_5	passeSimple_6	futurSimple_1	futurSimple_2	futurSimple_3	futurSimple_4	futurSimple_5	futurSimple_6	passeCompose_1	passeCompose_2	passeCompose_3	passeCompose_4	passeCompose_5	passeCompose_6	plusQueParfait_1	plusQueParfait_2	plusQueParfait_3	plusQueParfait_4	plusQueParfait_5	plusQueParfait_6	passeAnterieur_1	passeAnterieur_2	passeAnterieur_3	passeAnterieur_4	passeAnterieur_5	passeAnterieur_6	futurAnterieur_1	futurAnterieur_2	futurAnterieur_3	futurAnterieur_4	futurAnterieur_5	futurAnterieur_6	subjonctifPresent_1	subjonctifPresent_2	subjonctifPresent_3	subjonctifPresent_4	subjonctifPresent_5	subjonctifPresent_6	subjonctifImparfait_1	subjonctifImparfait_2	subjonctifImparfait_3	subjonctifImparfait_4	subjonctifImparfait_5	subjonctifImparfait_6	subjonctifPasse_1	subjonctifPasse_2	subjonctifPasse_3	subjonctifPasse_4	subjonctifPasse_5	subjonctifPasse_6	subjonctifPlusQueParfait_1	subjonctifPlusQueParfait_2	subjonctifPlusQueParfait_3	subjonctifPlusQueParfait_4	subjonctifPlusQueParfait_5	subjonctifPlusQueParfait_6	conditionnelPresent_1	conditionnelPresent_2	conditionnelPresent_3	conditionnelPresent_4	conditionnelPresent_5	conditionnelPresent_6	conditionnelPasse_1	conditionnelPasse_2	conditionnelPasse_3	conditionnelPasse_4	conditionnelPasse_5	conditionnelPasse_6	conditionnelPasseII_1	conditionnelPasseII_2	conditionnelPasseII_3	conditionnelPasseII_4	conditionnelPasseII_5	conditionnelPasseII_6	imperatifPasse_1	imperatifPasse_2	imperatifPasse_3	imperatifPasse_4	imperatifPasse_5	imperatifPasse_6
1	accepter	accepté	acceptant	avoir	s'accepter	accepte	acceptes	accepte	acceptons	acceptez	acceptent	acceptais	acceptais	acceptait	acceptions	acceptiez	acceptaient	acceptai	acceptas	accepta	acceptâmes	acceptâtes	acceptèrent	accepterai	accepteras	acceptera	accepterons	accepterez	accepteront	ai accepté	as accepté	a accepté	avons accepté	avez accepté	ont accepté	avais accepté	avais accepté	avait accepté	avions accepté	aviez accepté	avaient accepté	eus accepté	eus accepté	eut accepté	eûmes accepté	eûtes accepté	eurent accepté	aurai accepté	auras accepté	aura accepté	aurons accepté	aurez accepté	auront accepté	accepte	acceptes	accepte	acceptions	acceptiez	acceptent	acceptasse	acceptasses	acceptât	acceptassions	acceptassiez	acceptassent	aie accepté	aies accepté	ait accepté	ayons accepté	ayez accepté	aient accepté	eusse accepté	eusses accepté	eût accepté	eussions accepté	eussiez accepté	eussent accepté	accepterais	accepterais	accepterait	accepterions	accepteriez	accepteraient	aurais accepté	aurais accepté	aurait accepté	aurions accepté	auriez accepté	auraient accepté	eusse accepté	eusses accepté	eût accepté	eussions accepté	eussiez accepté	eussent accepté		aie accepté !		ayons accepté !	ayez accepté !	
2	acheter	acheté	achetant	avoir	s'acheter	achète	achètes	achète	achetons	achetez	achètent	achetais	achetais	achetait	achetions	achetiez	achetaient	achetai	achetas	acheta	achetâmes	achetâtes	achetèrent	achèterai	achèteras	achètera	achèterons	achèterez	achèteront	ai acheté	as acheté	a acheté	avons acheté	avez acheté	ont acheté	avais acheté	avais acheté	avait acheté	avions acheté	aviez acheté	avaient acheté	eus acheté	eus acheté	eut acheté	eûmes acheté	eûtes acheté	eurent acheté	aurai acheté	auras acheté	aura acheté	aurons acheté	aurez acheté	auront acheté	achète	achètes	achète	achetions	achetiez	achètent	achetasse	achetasses	achetât	achetassions	achetassiez	achetassent	aie acheté	aies acheté	ait acheté	ayons acheté	ayez acheté	aient acheté	eusse acheté	eusses acheté	eût acheté	eussions acheté	eussiez acheté	eussent acheté	achèterais	achèterais	achèterait	achèterions	achèteriez	achèteraient	aurais acheté	aurais acheté	aurait acheté	aurions acheté	auriez acheté	auraient acheté	eusse acheté	eusses acheté	eût acheté	eussions acheté	eussiez acheté	eussent acheté		aie acheté !		ayons acheté !	ayez acheté !	
3	adorer	adoré	adorant	avoir		adore	adores	adore	adorons	adorez	adorent	adorais	adorais	adorait	adorions	adoriez	adoraient	adorai	adoras	adora	adorâmes	adorâtes	adorèrent	adorerai	adoreras	adorera	adorerons	adorerez	adoreront	ai adoré	as adoré	a adoré	avons adoré	avez adoré	ont adoré	avais adoré	avais adoré	avait adoré	avions adoré	aviez adoré	avaient adoré	eus adoré	eus adoré	eut adoré	eûmes adoré	eûtes adoré	eurent adoré	aurai adoré	auras adoré	aura adoré	aurons adoré	aurez adoré	auront adoré	adore	adores	adore	adorions	adoriez	adorent							aie adoré	aies adoré	ait adoré	ayons adoré	ayez adoré	aient adoré	eusse adoré	eusses adoré	eût adoré	eussions adoré	eussiez adoré	eussent adoré	adorerais	adorerais	adorerait	adorerions	adoreriez	adoreraient	aurais adoré	aurais adoré	aurait adoré	aurions adoré	auriez adoré	auraient adoré	eusse adoré	eusses adoré	eût adoré	eussions adoré	eussiez adoré	eussent adoré						
4	aider	aidé	aidant	avoir	s'aider	aide	aides	aide	aidons	aidez	aident	aidais	aidais	aidait	aidions	aidiez	aidaient	aidai	aidas	aida	aidâmes	aidâtes	aidèrent	aiderai	aideras	aidera	aiderons	aiderez	aideront	ai aidé	as aidé	a aidé	avons aidé	avez aidé	ont aidé	avais aidé	avais aidé	avait aidé	avions aidé	aviez aidé	avaient aidé	eus aidé	eus aidé	eut aidé	eûmes aidé	eûtes aidé	eurent aidé	aurai aidé	auras aidé	aura aidé	aurons aidé	aurez aidé	auront aidé	aide	aides	aide	aidions	aidiez	aident	aidasse	aidasses	aidât	aidassions	aidassiez	aidassent	aie aidé	aies aidé	ait aidé	ayons aidé	ayez aidé	aient aidé	eusse aidé	eusses aidé	eût aidé	eussions aidé	eussiez aidé	eussent aidé	aiderais	aiderais	aiderait	aiderions	aideriez	aideraient	aurais aidé	aurais aidé	aurait aidé	aurions aidé	auriez aidé	auraient aidé	eusse aidé	eusses aidé	eût aidé	eussions aidé	eussiez aidé	eussent aidé		aie aidé !		ayons aidé !	ayez aidé !	
5	aimer	aimé	aimant	avoir	s'aimer	aime	aimes	aime	aimons	aimez	aiment	aimais	aimais	aimait	aimions	aimiez	aimaient	aimai	aimas	aima	aimâmes	aimâtes	aimèrent	aimerai	aimeras	aimera	aimerons	aimerez	aimeront	ai aimé	as aimé	a aimé	avons aimé	avez aimé	ont aimé	avais aimé	avais aimé	avait aimé	avions aimé	aviez aimé	avaient aimé	eus aimé	eus aimé	eut aimé	eûmes aimé	eûtes aimé	eurent aimé	aurai aimé	auras aimé	aura aimé	aurons aimé	aurez aimé	auront aimé	aime	aimes	aime	aimions	aimiez	aiment	aimasse	aimasses	aimât	aimassions	aimassiez	aimassent	aie aimé	aies aimé	ait aimé	ayons aimé	ayez aimé	aient aimé	eusse aimé	eusses aimé	eût aimé	eussions aimé	eussiez aimé	eussent aimé	aimerais	aimerais	aimerait	aimerions	aimeriez	aimeraient	aurais aimé	aurais aimé	aurait aimé	aurions aimé	auriez aimé	auraient aimé	eusse aimé	eusses aimé	eût aimé	eussions aimé	eussiez aimé	eussent aimé		aie aimé !		ayons aimé !	ayez aimé !	
6	ajouter	ajouté	ajoutant	avoir	s'ajouter	ajoute	ajoutes	ajoute	ajoutons	ajoutez	ajoutent	ajoutais	ajoutais	ajoutait	ajoutions	ajoutiez	ajoutaient	ajoutai	ajoutas	ajouta	ajoutâmes	ajoutâtes	ajoutèrent	ajouterai	ajouteras	ajoutera	ajouterons	ajouterez	ajouteront	ai ajouté	as ajouté	a ajouté	avons ajouté	avez ajouté	ont ajouté	avais ajouté	avais ajouté	avait ajouté	avions ajouté	aviez ajouté	avaient ajouté	eus ajouté	eus ajouté	eut ajouté	eûmes ajouté	eûtes ajouté	eurent ajouté	aurai ajouté	auras ajouté	aura ajouté	aurons ajouté	aurez ajouté	auront ajouté	ajoute	ajoutes	ajoute	ajoutions	ajoutiez	ajoutent	ajoutasse	ajoutasses	ajoutât	ajoutassions	ajoutassiez	ajoutassent	aie ajouté	aies ajouté	ait ajouté	ayons ajouté	ayez ajouté	aient ajouté	eusse ajouté	eusses ajouté	eût ajouté	eussions ajouté	eussiez ajouté	eussent ajouté	ajouterais	ajouterais	ajouterait	ajouterions	ajouteriez	ajouteraient	aurais ajouté	aurais ajouté	aurait ajouté	aurions ajouté	auriez ajouté	auraient ajouté	eusse ajouté	eusses ajouté	eût ajouté	eussions ajouté	eussiez ajouté	eussent ajouté		aie ajouté !		ayons ajouté !	ayez ajouté !	
7	aller	allé	allant	être		vais	vas	va	allons	allez	vont	allais	allais	allait	allions	alliez	allaient	allai	allas	alla	allâmes	allâtes	allèrent	irai	iras	ira	irons	irez	iront	suis allé(e)	es allé(e)	est allé(e)	sommes allé(e)s	êtes allé(e)(s)	sont allé(e)s	étais allé(e)	étais allé(e)	était allé(e)	étions allé(e)s	étiez allé(e)(s)	étaient allé(e)s	fus allé(e)	fus allé(e)	fut allé(e)	fûmes allé(e)s	fûtes allé(e)(s)	furent allé(e)s	serai allé(e)	seras allé(e)	sera allé(e)	serons allé(e)s	serez allé(e)(s)	seront allé(e)s	aille	ailles	aille	allions	alliez	aillent	allasse	allasses	allât	allassions	allassiez	allassent	sois allé(e)	sois allé(e)	soit allé(e)	soyons allé(e)s	soyez allé(e)(s)	soient allé(e)s	fusse allé(e)	fusses allé(e)	fût allé(e)	fussions allé(e)s	fussiez allé(e)(s)	fussent allé(e)s	irais	irais	irait	irions	iriez	iraient	serais allé(e)	serais allé(e)	serait allé(e)	serions allé(e)s	seriez allé(e)(s)	seraient allé(e)s	fusse allé(e)	fusses allé(e)	fût allé(e)	fussions allé(e)s	fussiez allé(e)(s)	fussent allé(e)s		sois allé(e) !		soyons allé(e)s !	soyez allé(e)(s) !	
8	allumer	allumé	allumant	avoir	s'allumer	allume	allumes	allume	allumons	allumez	allument	allumais	allumais	allumait	allumions	allumiez	allumaient	allumai	allumas	alluma	allumâmes	allumâtes	allumèrent	allumerai	allumeras	allumera	allumerons	allumerez	allumeront	ai allumé	as allumé	a allumé	avons allumé	avez allumé	ont allumé	avais allumé	avais allumé	avait allumé	avions allumé	aviez allumé	avaient allumé	eus allumé	eus allumé	eut allumé	eûmes allumé	eûtes allumé	eurent allumé	aurai allumé	auras allumé	aura allumé	aurons allumé	aurez allumé	auront allumé	allume	allumes	allume	allumions	allumiez	allument	allumasse	allumasses	allumât	allumassions	allumassiez	allumassent	aie allumé	aies allumé	ait allumé	ayons allumé	ayez allumé	aient allumé	eusse allumé	eusses allumé	eût allumé	eussions allumé	eussiez allumé	eussent allumé	allumerais	allumerais	allumerait	allumerions	allumeriez	allumeraient	aurais allumé	aurais allumé	aurait allumé	aurions allumé	auriez allumé	auraient allumé	eusse allumé	eusses allumé	eût allumé	eussions allumé	eussiez allumé	eussent allumé		aie allumé !		ayons allumé !	ayez allumé !	
9	améliorer	amélioré	améliorant	avoir		améliore	améliores	améliore	améliorons	améliorez	améliorent	améliorais	améliorais	améliorait	améliorions	amélioriez	amélioraient	améliorai	amélioras	améliora	améliorâmes	améliorâtes	améliorèrent	améliorerai	amélioreras	améliorera	améliorerons	améliorerez	amélioreront	ai amélioré	as amélioré	a amélioré	avons amélioré	avez amélioré	ont amélioré	avais amélioré	avais amélioré	avait amélioré	avions amélioré	aviez amélioré	avaient amélioré	eus amélioré	eus amélioré	eut amélioré	eûmes amélioré	eûtes amélioré	eurent amélioré	aurai amélioré	auras amélioré	aura amélioré	aurons amélioré	aurez amélioré	auront amélioré	améliore	améliores	améliore	améliorions	amélioriez	améliorent							aie amélioré	aies amélioré	ait amélioré	ayons amélioré	ayez amélioré	aient amélioré	eusse amélioré	eusses amélioré	eût amélioré	eussions amélioré	eussiez amélioré	eussent amélioré	améliorerais	améliorerais	améliorerait	améliorerions	amélioreriez	amélioreraient	aurais amélioré	aurais amélioré	aurait amélioré	aurions amélioré	auriez amélioré	auraient amélioré	eusse amélioré	eusses amélioré	eût amélioré	eussions amélioré	eussiez amélioré	eussent amélioré						
10	amener	amené	amenant	avoir	s'amener	amène	amènes	amène	amenons	amenez	amènent	amenais	amenais	amenait	amenions	ameniez	amenaient	amenai	amenas	amena	amenâmes	amenâtes	amenèrent	amènerai	amèneras	amènera	amènerons	amènerez	amèneront	ai amené	as amené	a amené	avons amené	avez amené	ont amené	avais amené	avais amené	avait amené	avions amené	aviez amené	avaient amené	eus amené	eus amené	eut amené	eûmes amené	eûtes amené	eurent amené	aurai amené	auras amené	aura amené	aurons amené	aurez amené	auront amené	amène	amènes	amène	amenions	ameniez	amènent	amenasse	amenasses	amenât	amenassions	amenassiez	amenassent	aie amené	aies amené	ait amené	ayons amené	ayez amené	aient amené	eusse amené	eusses amené	eût amené	eussions amené	eussiez amené	eussent amené	amènerais	amènerais	amènerait	amènerions	amèneriez	amèneraient	aurais amené	aurais amené	aurait amené	aurions amené	auriez amené	auraient amené	eusse amené	eusses amené	eût amené	eussions amené	eussiez amené	eussent amené		aie amené !		ayons amené !	ayez amené !	
